"# markets","time elapsed (seconds)"
1,0.075
2,0.095
3,0.087
4,0.109
5,0.156
6,0.148
7,0.172
8,0.171
9,0.207
10,0.242
11,0.237
12,0.252
13,0.3
14,0.314
15,0.319
16,0.332
17,0.344
18,0.368
19,0.4
20,0.407
21,0.429
22,0.473
23,0.445
24,0.537
25,0.517
26,0.563
27,0.588
28,0.575
29,0.599
30,0.601
31,0.624
32,0.652
33,0.721
34,0.733
35,0.706
36,0.747
37,0.749
38,0.745
39,0.771
40,0.782
41,0.866
42,0.864
43,0.87
44,0.871
45,0.913
46,0.921
47,0.953
48,0.957
49,0.973
50,1.017
51,1.027
52,1.098
53,1.09
54,1.216
55,1.175
56,1.198
57,1.24
58,1.25
59,1.281
60,1.296
61,1.347
62,1.324
63,1.372
64,1.38
65,1.389
66,1.424
67,1.47
68,1.49
69,1.549
70,1.523
71,1.555
72,1.655
73,1.633
74,1.591
75,1.642
76,1.673
77,1.717
78,1.766
79,1.747
80,1.774
81,1.859
82,1.823
83,1.844
84,1.876
85,1.866
86,1.947
87,1.937
88,1.986
89,1.959
90,1.995
91,2.051
92,2.12
93,2.066
94,2.18
95,2.139
96,2.161
97,2.262
98,2.234
99,2.242
100,2.252
101,2.349
102,2.332
103,2.357
104,2.37
105,2.498
106,2.419
107,2.443
108,2.495
109,2.596
110,2.587
111,2.616
112,2.644
113,2.645
114,2.683
115,2.72
116,2.752
117,2.767
118,2.776
119,2.878
120,2.916
121,2.997
122,2.93
123,3.131
124,2.953
125,2.988
126,3.047
127,3.108
128,3.012
129,3.151
130,3.151
131,3.181
132,3.29
133,3.265
134,3.276
135,3.323
136,3.309
137,3.291
138,3.446
139,3.388
140,3.4
141,3.455
142,3.464
143,3.456
144,3.627
145,3.492
146,3.644
147,3.658
148,3.683
149,3.743
150,3.762
151,3.86
152,3.778
153,3.82
154,3.892
155,3.89
156,3.98
157,3.934
158,4.082
159,4.023
160,4.049
161,4.116
162,4.135
163,4.238
164,4.251
165,4.301
166,4.354
167,4.329
168,4.218
169,4.385
170,4.379
171,4.386
172,4.401
173,4.459
174,4.379
175,4.549
176,4.604
177,4.667
178,4.529
179,4.746
180,4.59
181,4.746
182,4.718
183,4.778
184,4.823
185,4.829
186,4.823
187,4.94
188,4.855
189,4.931
190,4.931
191,4.981
192,5.001
193,5.122
194,5.071
195,5.166
196,5.108
197,5.236
198,5.191
199,5.587
200,5.398
201,5.449
202,5.35
203,5.501
204,5.368
205,5.56
206,5.614
207,5.69
208,5.598
209,5.781
210,5.702
211,5.769
212,5.7
213,5.873
214,5.832
215,5.977
216,5.939
217,6.03
218,5.944
219,6.108
220,6.1
221,6.263
222,6.212
223,6.269
224,6.264
225,6.35
226,6.351
227,6.496
228,6.484
229,6.542
230,6.947
231,6.775
232,6.713
233,6.609
234,6.818
235,6.754
236,6.777
237,6.845
238,6.9
239,6.994
240,7.047
241,7.038
242,6.988
243,7.067
244,7.266
245,7.153
246,7.152
247,7.218
248,7.293
249,7.669
250,7.37
